#,日付,ルート,タイプ,備考
55,2018/12/30,Three Sisters,日帰り・ハイキング,Australia
54,2018/12/09,三つ峠登山口〜清八山〜本社ヶ丸〜鶴ヶ鳥屋山〜初狩駅,日帰り・ハイキング,
53,2018/12/01,禾生駅〜九鬼山〜猿橋駅,日帰り・ハイキング,
52,2018/11/24,北川〜秋葉山〜秋葉神社,日帰り・ハイキング,東海自然歩道
51,2018/11/23,北鎌倉駅〜鎌倉アルプス〜鎌倉駅,日帰り・ハイキング,
50,2018/11/10,梁川駅〜倉岳山〜高畑山〜鳥沢駅,日帰り・ハイキング,
49,2018/11/03~04,浅間山登山口〜浅間山荘[泊]〜浅間山〜浅間山登山口,テント泊・ピストン,
48,2018/10/27,油壺・入江のみち,日帰り・ハイキング,関東ふれあいの道
47,2018/10/20~22,黒部ダム〜ロッジくろよん[泊]〜下ノ廊下〜阿曽原温泉[泊]〜欅平,テント泊・縦走,
46,2018/10/06~08,夜叉神峠〜南御室[泊]〜鳳凰三山〜早川尾根[泊]〜アサヨ峰〜栗沢山〜北沢峠,テント泊・縦走,
45,2018/09/28~29,飯森高原〜御嶽山〜女人堂[泊]〜飯森高原,山小屋泊・ピストン,
44,2018/09/23,清水〜巻機山〜清水,日帰り・ピストン,
43,2018/09/22,榛名湖〜榛名山〜榛名湖,日帰り・ハイキング,
42,2018/09/17,初狩駅〜高川山〜大月駅,日帰り・ハイキング,
41,2018/09/08~09,大弛峠〜甲武信ヶ岳〜甲武信小屋[泊]〜三宝山〜西沢渓谷,テント泊・縦走,雨
40,2018/08/25~26,高峰高原〜高峯山〜篭ノ登山〜三方ヶ峰〜湯ノ丸山〜湯ノ丸[泊]〜烏帽子岳〜大家駅,テント泊・ハイキング,
39,2018/08/17~19,上高地〜槍ヶ岳〜槍ヶ岳山荘[泊]〜奥穂高岳〜穂高岳山荘[泊]〜涸沢〜上高地,山小屋泊・縦走,大キレット
38,2018/08/04~05,八方〜唐松岳〜白馬三山〜白馬山荘[泊]〜栂池,山小屋泊・縦走,不帰キレット
37,2018/07/28~29,白神岳登山口駅〜白神岳〜頂上避難小屋[泊]〜白神岳登山口駅,避難小屋泊・ピストン,
36,2018/07/14~16,折立〜北ノ俣岳〜薬師峠[泊]〜雲ノ平〜祖父岳〜鷲羽岳〜三俣[泊]〜双六岳〜新穂高温泉,テント泊・縦走,
35,2018/07/08,プレジャーフォレスト前〜石老山〜プレジャーフォレスト前,日帰り・ハイキング,東海自然歩道
34,2018/07/07,鍾乳洞と滝のみち,日帰り・ハイキング,関東ふれあいの道
33,2018/06/24~26,中房温泉〜燕岳〜燕山荘[泊]～大天井岳〜常念小屋[泊]〜常念岳〜蝶ヶ岳〜上高地[泊],テント泊・縦走,
32,2018/06/21,鴛泊登山口〜利尻山〜鴛泊フェリーターミナル,日帰り・ピストン,強風と雨
31,2018/06/20,桃岩展望コース,日帰り・ハイキング,礼文島散策
30,2018/06/19,内路〜礼文岳〜内路,日帰り・ピストン,強風
29,2018/06/18,比羅夫登山口〜羊蹄山〜比羅夫登山口,日帰り・ピストン,
28,2018/06/09,相模湖駅〜嵐山〜城山〜相模湖駅,日帰り・ハイキング,東海自然歩道
27,2018/06/02~03,赤銅のみち～ヤシオ咲く庚申のみち～庚申山荘[泊]〜お山巡りのみち,避難小屋泊・ハイキング,コウシンソウ
