#,日付,ルート,タイプ,備考
33,05/09~10,ASO VOLCANO TRAIL 114k,レース・トレラン,
32,05/05,国見岳,日帰り・ハイキング,
31,05/04,行縢山、白鳥山,日帰り・ハイキング,
30,05/02,寂地山,日帰り・トレラン,
29,04/25~29,高島トレイル,テント泊・縦走,
28,04/19,虫倉山、砂鉢山,日帰り・ハイキング,
27,04/18,鼻曲山、修那羅山,日帰り・ハイキング,
26,04/11,雁ヶ腹摺山,日帰り・トレラン,
25,04/08,八王子隠れ名山,日帰り・ハイキング,
24,04/05,ときがわ,日帰り・トレラン,
23,04/03,日連アルプス,日帰り・トレラン,
22,03/28,各務原アルプス,日帰り・トレラン,
21,03/26,皆子山,日帰り・トレラン,
20,03/24,浦富海岸、経ケ岬,日帰り・ハイキング,
19,03/21,千羽海崖,日帰り・トレラン,
18,03/20,高知南嶺,日帰り・トレラン,
17,03/19,見残し海岸、足摺岬,日帰り・ハイキング,
16,03/15,白滝山,日帰り・ハイキング,
15,03/14,亀老山,日帰り・ハイキング,
14,03/12,竜王山,日帰り・トレラン,
13,03/11,飯野山,日帰り・トレラン,
12,03/08,踊子歩道,日帰り・ハイキング,
11,03/04,高尾山,日帰り・トレラン,
10,01/24,皆野アルプス、長瀞アルプス,日帰り・トレラン,
9,01/18,土浦〜つくば,日帰り・ハイキング,
8,01/17,日立アルプス,日帰り・トレラン,
7,01/12,八王子隠れ名山,日帰り・ハイキング,
6,01/10,乳房山,日帰り・トレラン,
5,01/09,父島縦断,日帰り・ハイキング,
4,01/08,大神山、三日月山,日帰り・ハイキング,
3,01/04,紀泉アルプス,日帰り・ハイキング,
2,01/03,高津子山,日帰り・ハイキング,
1,01/02,紀見峠～橋本,日帰り・ハイキング,
