#,日付,ルート,タイプ,備考
88,11/15,TransLantau 80K(<a href="https://www.google.com/maps/d/edit?mid=1yBPus2DAbc0HBs4Rq3wWvaDqfnn-YGk&usp=sharing" target="_blank">Map</a>),レース・トレラン,HK
87,11/08,名郷周回,日帰り・トレラン,
86,11/03,津田～伏見桃山,日帰り・ハイキング,
85,11/02,黒河道〜石町道,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-8889084.html" target="_blank">レコ</a>
84,11/01,中山連山,日帰り・ハイキング,
83,10/24,谷川主脈～三国峠,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-8853602.html" target="_blank">レコ</a>
82,10/20,美ヶ原,日帰り・ハイキング,
81,10/19,塩の道（安曇追分～信濃大町）,日帰り・ハイキング,
80,10/18,奥裾花,日帰り・ハイキング,
79,10/12~13,ハセツネ,レース・トレラン,
78,10/05,赤城山,日帰り・トレラン,
77,10/04,嵩山,日帰り・ハイキング,
76,09/28,摩耶山,日帰り・トレラン,
75,09/27,和賀岳,日帰り・トレラン,
74,09/23,焼石岳,日帰り・トレラン,
73,09/22,神室山,日帰り・トレラン,
72,09/21,羽黒山,日帰り・ハイキング,
71,09/15,美ヶ原～四賀化石館,日帰り・トレラン,
70,09/14,信飛トレイル（松本駅～波田駅）,日帰り・ハイキング,
69,09/13,鉢伏山,日帰り・トレラン,
68,09/07,塩の道（アルプス公園～柏矢町）,日帰り・ハイキング,
67,09/06,下(下島)-中(中ア)-上(上松),日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-8648310.html" target="_blank">レコ</a>
66,08/30~09/01,パノラマコース,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-8625984.html" target="_blank">レコ</a>
65,08/24,白樺湖～長門牧場,日帰り・ハイキング,
64,08/15~17,赤石岳～聖岳,テント泊・縦走,
63,08/09,甲斐駒ヶ岳,日帰り・トレラン,
62,08/02~03,白馬（鑓温泉～鉱山道）,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-8504457.html" target="_blank">レコ</a>
61,07/26~27,群馬県境（渋峠～鳥居峠）,小屋泊・縦走,
60,07/20~22,北ア深部,小屋泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-8450704.html" target="_blank">レコ</a>
59,07/17,狩場山,日帰り・トレラン,
58,07/13,天塩岳,日帰り・ハイキング,
57,07/12,芦別岳,日帰り・トレラン,
56,07/07,暑寒別岳,日帰り・トレラン,
55,07/01,アポイ岳,日帰り・トレラン,
54,06/28,谷川馬蹄,日帰り・トレラン,
53,06/21,KagaSpa 50K,レース・トレラン,
52,06/18,人形山,日帰り・トレラン,
51,06/15,尾瀬,日帰り・ハイキング,
50,06/14,太郎山,日帰り・トレラン,
49,06/07~08,黒法師岳,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-8266901.html" target="_blank">レコ</a>
48,06/01,櫛形山,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-8235794.html" target="_blank">レコ</a>
47,05/31,旭山,日帰り・ハイキング,
46,05/28,冠着山、聖山,日帰り・ハイキング,
45,05/25,茂来山,日帰り・トレラン,
44,05/24,天狗山,日帰り・トレラン,
43,05/23,蜂城山,日帰り・トレラン,
42,05/17,大境門50K(<a href="https://www.google.com/maps/d/edit?mid=1NCgjsZFwekxTCdwu4j-E6nhfOCaS8ZI&usp=sharing" target="_blank">Map</a>),レース・トレラン,CN
41,05/11,莫干山,海外トレッキング,CN
40,05/10,杭州標毅線(<a href="https://www.google.com/maps/d/edit?mid=1ipxUcaccg-5CrnX5RXN6yPUUX-cifAM&usp=sharing" target="_blank">Map</a>),海外トレッキング,CN
39,05/03,大青山,海外トレッキング,CN
38,04/29,西丹沢,日帰り・トレラン,
37,04/25~26,FUJI100,レース・トレラン,DNF
36,04/20,御正体山,日帰り・ハイキング,
35,04/19,三方分山,日帰り・トレラン,
34,04/18,醍醐山,日帰り・トレラン,
33,04/12,太郎山、子檀嶺岳,日帰り・トレラン,
32,04/09,独鈷山,日帰り・ハイキング,
31,04/05,生駒山TTT,日帰り・トレラン,
30,04/04,山の辺の道,日帰り・ハイキング,
29,04/02,横山,日帰り・ハイキング,
28,03/30,御岳山,日帰り・トレラン,
27,03/28,八王子隠れ名山,日帰り・ハイキング,
26,03/23,箕面山,日帰り・ハイキング,
25,03/20~22,京都一周トレイル,セクション・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-7916693.html" target="_blank">レコ</a>
24,03/15,外秩父七峰縦走,日帰り・トレラン,ナイトハイク
23,03/13,高尾山,日帰り・トレラン
22,03/08~09,関東ふれあいの道,セクション・ハイキング,
21,03/02,箱根山,日帰り・ハイキング,
20,03/01,西丹沢,日帰り・トレラン,
19,02/21~23,Tongariro Northern Circuit(<a href="https://www.google.com/maps/d/edit?mid=1gdnKu_0z_PjMcaS8lAhmv5yIkjdnEkE&usp=sharing" target="_blank">Map</a>),海外トレッキング,NZ
18,02/20,Mount Taranaki(<a href="https://www.google.com/maps/d/edit?mid=1XSGQD2RtoLEp7EfVPBe1wIYwWyAX49c&usp=sharing" target="_blank">Map</a>),海外トレッキング,NZ
17,02/16,Waimangu Thermal Valley Walk,海外トレッキング,NZ
16,02/15,Tarawera T50(<a href="https://www.google.com/maps/d/edit?mid=1lfBW9p-yjFrngXJxzMu0dZpYNgazULU&usp=sharing" target="_blank">Map</a>),レース・トレラン,NZ
15,02/13,Huka Trail,海外トレッキング,NZ
14,02/12,Te Mata Peak,海外トレッキング,NZ
13,02/09~11,Lake Waikaremoana Track(<a href="https://www.google.com/maps/d/u/0/edit?mid=1cmmvZh_kHyLHFURSCOYX4wbNVnqFK5M&usp=sharing" target="_blank">Map</a>),海外トレッキング,NZ
12,02/08,Mount Maunganui,海外トレッキング,NZ
11,02/07,Karangahake Gorge,海外トレッキング,NZ
10,02/01,高尾マンモス,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7759978.html" target="_blank">レコ</a>
9,01/28,鎌北湖,日帰り・トレラン,
8,01/26,七国峠,日帰り・ハイキング,
7,01/25,笹子雁ヶ腹摺山,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-7734472.html" target="_blank">レコ</a>
6,01/18,三つ峠山,日帰り・トレラン,
5,01/13,岩戸山,日帰り・ハイキング,
4,01/12,石垣山,日帰り・ハイキング,
3,01/11,北丹沢,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7683510.html" target="_blank">レコ</a>
2,01/08,八王子城跡,日帰り・トレラン,
1,01/01~05,広島湾岸トレイル,セクション・ハイキング,
