#,日付,ルート,タイプ,備考
48,12/16,鴨沢〜雲取山〜鴨沢,日帰り・ピストン,2017の山
47,12/09,弘法大師と桜のみち～鷹取山・里のみち,日帰り・ハイキング,関東ふれあいの道
46,12/02,第5回ふれあいの道トレイルラン大会Bコース,レース・トレラン,32km・06h52m28s完走
45,11/25,富士見のみち～鳥のみち～湖のみち,日帰り・トレラン,関東ふれあいの道
44,11/19,佐島・大楠山のみち,日帰り・ハイキング,関東ふれあいの道
43,11/12,丹沢山塊東辺のみち,日帰り・ハイキング,関東ふれあいの道
42,11/11,荒崎・潮騒のみち,日帰り・ハイキング,関東ふれあいの道
41,11/05,油壺・入江のみち,日帰り・ハイキング,関東ふれあいの道
40,11/04,湖のみち,日帰り・トレラン,関東ふれあいの道
39,11/03,西沢渓谷,日帰り・ハイキング,
38,10/09,仙酔峡登山口〜阿蘇山（高岳）〜仙酔峡登山口,日帰り・ピストン,
37,10/08,牧ノ戸峠〜久住山〜中岳〜牧ノ戸峠,日帰り・ハイキング,
36,10/07,尾平登山口〜祖母山〜尾平登山口,日帰り・ピストン,宮原コース
35,09/30~10/01,室堂〜奥大日岳〜雷鳥沢[泊]〜龍王岳〜室堂,テント泊・ハイキング,
34,09/23,大磯・高麗山のみち,日帰り・ハイキング,関東ふれあいの道
33,09/16,笠ヶ岳・横手山,日帰り・ハイキング,
32,09/11,雌阿寒温泉登山口〜雌阿寒岳〜阿寒富士〜オンネトー登山口〜雌阿寒温泉登山口,日帰り・ハイキング,
31,09/10,清岳荘〜斜里岳〜清岳荘,日帰り・ピストン,
30,09/09,木下小屋〜羅臼岳〜木下小屋,日帰り・ピストン,
29,09/03,鷹ノ巣〜平ヶ岳〜鷹ノ巣,日帰り・ピストン,
28,08/26~27,川入〜本山小屋[泊]〜飯豊山〜川入,避難小屋泊・ピストン,
27,08/20,枝折峠〜越後駒ヶ岳〜枝折峠,日帰り・ピストン,
26,08/10~13,鳥倉〜中岳避難小屋[泊]〜悪沢岳〜赤石岳〜百間洞山の家[泊]〜聖岳〜聖平小屋[泊]〜聖沢,山小屋泊・縦走,
25,08/05~06,室堂〜立山〜剱沢[泊]〜剱岳,テント泊・縦走,
24,07/30,朝日鉱泉〜大朝日岳〜朝日鉱泉,日帰り・ピストン,中ツルコース
23,07/22~23,上高地〜岳沢〜前穂高岳〜奥穂高岳〜穂高岳山荘[泊]〜涸沢〜上高地,山小屋泊・縦走,
22,07/15~16,扇沢〜爺ヶ岳〜鹿島槍ヶ岳〜キレット小屋[泊]〜五竜岳〜アルプス平,山小屋泊・縦走,八峰キレット
21,07/08~09,上高地〜槍ヶ岳〜槍ヶ岳山荘[泊]〜上高地,山小屋泊・ピストン,
20,07/02,乾徳山登山口〜乾徳山〜乾徳山登山口,日帰り・ピストン,下痢
19,06/24,祓川登山口〜苗場山〜祓川登山口〜三俣中央,日帰り・ピストン,
18,06/10~11,駒ヶ池〜池山小屋[泊]〜空木岳〜駒ヶ池,避難小屋泊・ピストン,
17,06/04,第8回忍野富士トレランレースミドルコース,レース・トレラン,25.4km・03h20m45s完走
16,05/27~28,猿倉〜白馬岳〜白馬山荘[泊]〜猿倉〜ハ方,山小屋泊・ピストン,
15,05/21,皇海橋〜皇海山〜鋸山〜皇海橋,日帰り・ピストン,
14,05/14,御正体入口〜御正体山〜山中湖,日帰り・トレラン,
13,05/04,八幡平登山口〜八幡平〜八幡平登山口,日帰り・ハイキング,雪山
12,05/03~04,御神坂登山口〜岩手山〜八合目避難小屋[泊]〜馬返登山口,避難小屋泊・縦走,残雪
11,04/30,天下茶屋〜黒岳〜大石峠,日帰り・ハイキング,
10,04/22~23,八方池山荘[泊]〜唐松岳〜八方池山荘,山小屋泊・ピストン,雪山
9,04/15,丹沢低山ハイキング,日帰り・ハイキング,
8,04/10,開聞駅〜開聞岳〜開聞駅,日帰り・ピストン,
7,04/08~09,白谷雲水峡〜新高塚小屋[泊]〜宮之浦岳〜淀川登山口,避難小屋泊・縦走,
6,04/07,えびの高原〜霧島山〜えびの高原,日帰り・ピストン,雨
5,04/02,ケーブル山頂〜御岳山〜日向和田駅,日帰り・ハイキング,
4,03/20,十里木〜愛鷹山〜愛鷹登山口,日帰り・ハイキング,
3,03/05,渋の湯〜天狗岳〜渋の湯,日帰り・ピストン,雪山
2,03/04,入笠湿原〜入笠山〜入笠湿原,日帰り・ピストン,雪山
1,02/04,金時山登山口〜金時山〜乙女口OUT,日帰り・ピストン,
