#,日付,ルート,タイプ,備考
84,12/28~31,広島湾岸トレイル,小屋泊・ハイキング,
83,12/25,城山湖,日帰り・ハイキング,
82,12/21,北高尾,日帰り・トレラン,
81,12/19,草戸山,日帰り・トレラン,
80,12/15,都留アルプス,日帰り・ハイキング,
79,12/14,金時山,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7589880.html" target="_blank">レコ</a>
78,12/11,高尾山,日帰り・トレラン,
77,12/08,渋沢丘陵,日帰り・ハイキング,
76,12/07,笙ノ岩山,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7568207.html" target="_blank">レコ</a>
75,11/23,関東ふれあいの道（笠森～道の駅むつざわ つどいの郷）,日帰り・ハイキング,
74,11/16~17,FTR100K,レース・トレラン,28h27m24s完走
73,11/09,扇山～権現山,日帰り・トレラン,
72,11/02~03,ダイヤモンドトレイル,小屋泊・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7435321.html" target="_blank">レコ</a>
71,10/27,六万騎山,日帰り・ハイキング,
70,10/26,裏越後三山,日帰り・トレラン,
69,10/20,千手山,日帰り・ハイキング,
68,10/12~14,比良比叡トレイル,テント泊・縦走,
67,10/11,冠山,日帰り・ハイキング,
66,10/10,能郷白山,日帰り・ハイキング,
65,10/06,金松寺山,日帰り・ハイキング,
64,10/05,上高地クラシックルート,日帰り・ハイキング,
63,10/02,阿寺渓谷,日帰り・ハイキング,
62,10/01,小秀山,日帰り・ハイキング,
61,09/30,鷲ヶ岳,日帰り・ハイキング,
60,09/29,青海黒姫山,日帰り・ハイキング,
59,09/22,上州武尊スカイビュートレイル80,レース・トレラン,18h17m43s完走
58,09/16~17,立山ハイキング,小屋泊・ハイキング,
57,09/15,精進ヶ滝,日帰り・ハイキング,
56,09/14,白峰三山,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7235661.html" target="_blank">レコ</a>
55,09/05~07,剱沢雪渓～針ノ木谷古道,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-7198362.html" target="_blank">レコ</a>
54,09/01,杓子山,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7189040.html" target="_blank">レコ</a>
53,08/25,八溝山,日帰り・ハイキング,
52,08/24,大滝根山,日帰り・ハイキング,
51,08/23,霊山,日帰り・ハイキング,
50,08/17,念丈サーキット,日帰り・トレラン,<a href="https://www.yamareco.com/modules/yamareco/detail-7148389.html" target="_blank">レコ</a>
49,08/10~11,五竜～鹿島槍,小屋泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-7115115.html" target="_blank">レコ</a>
48,08/02~04,白出沢～大キレット～南岳新道,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-7085859.html" target="_blank">レコ</a>
47,07/27~29,日光尾瀬縦走,小屋泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-7068059.html" target="_blank">レコ</a>
46,07/21,倉見山,日帰り・ハイキング,
45,07/11~14,大雪十勝縦走,テント泊・縦走,<a href="https://www.yamareco.com/modules/yamareco/detail-7013502.html" target="_blank">レコ</a>
44,07/06~07,柳沢峠～笠取山～丹波山村,テント泊・縦走,
43,06/29,鍬ノ峰,日帰り・ハイキング,
42,06/22,阿弥陀中央稜～赤岳～権現岳,日帰り・ハイキング,
41,06/16,粟ヶ岳,日帰り・ハイキング,
40,06/15,守門岳,日帰り・ハイキング,
39,06/14,浅草岳,日帰り・ハイキング,
38,06/13,会津朝日岳,日帰り・ハイキング,
37,06/09,七ヶ岳,日帰り・ハイキング,
36,06/08,荒海山,日帰り・ハイキング,
35,06/01,黒金山,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-6869579.html" target="_blank">レコ</a>
34,05/26,日光散策,日帰り・ハイキング,
33,05/25,女峰山,日帰り・ハイキング,
32,05/24,高原山,日帰り・ハイキング,
31,05/18,鶏冠山,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-6808499.html" target="_blank">レコ</a>
30,05/17,小川山,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-6806474.html" target="_blank">レコ</a>
29,05/12,みなの50K,レース・トレラン,09h56m22s完走
28,05/11,神川御嶽山,日帰り・ハイキング,
27,05/03~06,安部奥,テント泊・縦走,<a href="hテントテントs://www.yamareco.com/modules/yamareco/detail-6742263.html" target="_blank">レコ</a>
26,04/20,医王山,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-6677185.html" target="_blank">レコ</a>
25,04/19,経ヶ岳,日帰り・ハイキング,<a href="https://www.yamareco.com/modules/yamareco/detail-6673922.html" target="_blank">レコ</a>
24,04/14,あやべ50K,レース・トレラン,09h59m37s完走
